begin,end,id,flow,occupancy,speed,nVehEntered
21600.00,25200.00,e1det_688169644#0_3,76.00,2.57,5.38,76
21600.00,25200.00,e1det_688171462#2_0,27.00,0.86,8.18,29
21600.00,25200.00,e1det_688171462#2_1,17.00,0.56,5.11,17
21600.00,25200.00,e1det_688171462#2_2,66.00,2.17,5.17,66
21600.00,25200.00,e1det_688214484#0_0,27.00,0.92,4.44,32
21600.00,25200.00,e1det_688214484#0_1,12.00,0.45,4.27,13
21600.00,25200.00,e1det_688214484#0_2,70.00,1.47,7.48,70
25200.00,28800.00,e1det_412441780#1_0,126.00,9.04,5.55,134
25200.00,28800.00,e1det_412441780#1_1,197.00,3.98,8.19,197
25200.00,28800.00,e1det_688169644#0_0,133.00,3.55,6.75,133
25200.00,28800.00,e1det_688169644#0_1,66.00,1.49,8.16,68
25200.00,28800.00,e1det_688169644#0_2,70.00,1.52,7.90,70
25200.00,28800.00,e1det_688169644#0_3,171.00,5.55,4.55,171
25200.00,28800.00,e1det_688171462#2_0,83.00,2.51,9.17,93
25200.00,28800.00,e1det_688171462#2_1,58.00,7.28,7.33,58
25200.00,28800.00,e1det_688171462#2_2,159.00,5.53,4.27,160
25200.00,28800.00,e1det_688214484#0_0,57.00,17.61,5.25,69
25200.00,28800.00,e1det_688214484#0_1,52.00,1.97,5.19,57
25200.00,28800.00,e1det_688214484#0_2,181.00,3.82,7.47,181
28800.00,32400.00,e1det_412441780#1_0,127.00,11.10,5.00,133
28800.00,32400.00,e1det_412441780#1_1,210.00,4.06,8.65,210
28800.00,32400.00,e1det_688169644#0_0,158.00,4.36,5.60,158
28800.00,32400.00,e1det_688169644#0_1,116.00,2.03,11.51,117
28800.00,32400.00,e1det_688169644#0_2,54.00,1.16,8.42,55
28800.00,32400.00,e1det_688169644#0_3,173.00,5.84,4.58,173
28800.00,32400.00,e1det_688171462#2_0,96.00,2.74,10.02,105
28800.00,32400.00,e1det_688171462#2_1,46.00,1.03,8.93,46
28800.00,32400.00,e1det_688171462#2_2,172.00,6.19,4.16,171
28800.00,32400.00,e1det_688214484#0_0,82.00,10.82,5.58,95
28800.00,32400.00,e1det_688214484#0_1,48.00,2.18,5.95,51
28800.00,32400.00,e1det_688214484#0_2,205.00,4.26,7.83,205
32400.00,36000.00,e1det_412441780#1_0,123.00,4.39,5.22,127
32400.00,36000.00,e1det_412441780#1_1,217.00,4.18,8.14,217
32400.00,36000.00,e1det_688169644#0_0,139.00,3.64,6.70,141
32400.00,36000.00,e1det_688169644#0_1,80.00,1.67,10.16,81
32400.00,36000.00,e1det_688169644#0_2,50.00,1.16,7.49,52
32400.00,36000.00,e1det_688169644#0_3,185.00,6.28,4.50,185
32400.00,36000.00,e1det_688171462#2_0,80.00,3.22,7.15,87
32400.00,36000.00,e1det_688171462#2_1,46.00,1.49,7.08,46
